,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1710,https://datacenters.com/centrilogic-scottsdale-arizona,"Centrilogic: Scottsdale, Arizona","9316 E Raintree Dr, Scottsdale, AZ 85260, USA",Centrilogic,,1.98,,,9316,E Raintree Dr,Scottsdale,AZ,33.6202336,-111.8809888
1711,https://datacenters.com/metanet-hosting-111-8th-ave,Metanet Hosting: 111 8th Ave Data Center,"111 8th Avenue, New York, NY, USA",Metanet Hosting,,6.84,,,111,8th Avenue,New York,NY,40.7408812,-74.0020865
1712,https://datacenters.com/365-nj2-newark,365 Data Centers: NJ2 Newark Data Center,"165 Halsey Street, Newark, NJ, USA",365 Data Centers,,3.27,,,165,Halsey Street,Newark,NJ,40.7367988,-74.17341306666667
1713,https://datacenters.com/365-sj1-san-jose,365 Data Centers: SJ1 San Jose Data Center,"55 South Market Street, South Market Street, San Jose, CA, USA",365 Data Centers,,2.87,,,55,South Market Street,South Market Street,San Jose,37.3341274,-121.8914979
1714,https://datacenters.com/365-wa4-spokane,365 Data Centers: WA4 Spokane Data Center,"422 West Riverside Avenue, Spokane, WA, USA",365 Data Centers,,5.9,,,422,West Riverside Avenue,Spokane,WA,47.65803251714229,-117.41847209730655
1715,https://datacenters.com/inap-seattle-1,INAP: Seattle 1 Data Center,"140 4th Avenue South, Seattle, WA, USA",INAP,5.5,10.57,33000.0,33000.0,140,4th Avenue South,Seattle,WA,47.60136079591837,-122.32886477551021
1716,https://datacenters.com/synoptek-boise,Synoptek: Boise Data Center,"412 E Parkcenter Blvd #300, Boise, ID 83706, USA",Synoptek,10.0,3.23,,1000.0,412,E Parkcenter Blvd #300,Boise,ID,43.5967763,-116.1758344
1717,https://datacenters.com/ntt-global-ph1-phoenix-2,NTT Global Data Centers: PH1 Phoenix Data Center,"10256 East Elliot Road, Mesa, AZ 85212, USA",NTT Global Data Centers,36.0,3.81,126000.0,126000.0,10256,East Elliot Road,Mesa,AZ,33.355480650000004,-111.61122111381937
1718,https://datacenters.com/edged-edged-phoenix,Edged: Edged Phoenix Data Center,"8811 East Warner Road, Mesa, AZ 85212, USA",Edged,36.0,1.94,,,8811,East Warner Road,Mesa,AZ,33.3353529,-111.5941751
1719,https://datacenters.com/365-nj7-somerset,365 Data Centers: NJ7 Somerset Data Center,"800 Cottontail Lane, Somerset, NJ, USA",365 Data Centers,,2.52,,,800,Cottontail Lane,Somerset,NJ,40.5391255,-74.5480323
1720,https://datacenters.com/365-sj2-san-jose,365 Data Centers: SJ2 San Jose Data Center,"11 Great Oaks Boulevard, San Jose, CA, USA",365 Data Centers,,11.61,,,11,Great Oaks Boulevard,San Jose,CA,37.24160355,-121.78331850529646
1721,https://datacenters.com/quest-technology-management-quest-las-vegas,Quest Technology Management: Quest Las Vegas Data Center,"3330 E Lone Mountain Rd, North Las Vegas, NV 89081, USA",Quest Technology Management,,11.72,,,3330,E Lone Mountain Rd,North Las Vegas,NV,36.247409,-115.0769941
1723,https://datacenters.com/novva-arizona,NOVVA: Arizona Data Center,"Ellsworth Road, Mesa, AZ, USA",NOVVA,300.0,4.22,1300000.0,1300000.0,,Ellsworth Road,Mesa,AZ,33.3648503,-111.6358579
1724,https://datacenters.com/enzu-sjc2-santa-clara,Enzu: SJC2 Santa Clara Data Center,"2820 Northwestern Parkway, Santa Clara, CA, USA",Enzu,,2.49,,,2820,Northwestern Parkway,Santa Clara,CA,37.372569299999995,-121.97365893917444
1725,https://datacenters.com/ntt-global-sv1-silicon-valley,NTT Global Data Centers: SV1 Silicon Valley Data Center,"1160 Walsh Ave, Santa Clara, CA 95050, USA",NTT Global Data Centers,6.0,1.51,64090.0,64090.0,1160,Walsh Ave,Santa Clara,CA,37.36905325,-121.95533775006021
1728,https://datacenters.com/365-nj7-clifton,365 Data Centers: NJ7 Clifton Data Center,"100 Delawanna Avenue, Clifton, NJ, USA",365 Data Centers,,10.02,,,100,Delawanna Avenue,Clifton,NJ,40.829930649999994,-74.12674999655991
1729,https://datacenters.com/inap-silicon-valley-3,INAP: Silicon Valley 3 Data Center,"11 Great Oaks Blvd, San Jose, CA, USA",INAP,13.5,41.6,45000.0,45000.0,11,Great Oaks Blvd,San Jose,CA,37.24160355,-121.78331850529646
1731,https://datacenters.com/365-sc1-santa-clara,365 Data Centers: SC1 Santa Clara Data Center,"2972 Stender Way, Santa Clara, CA, USA",365 Data Centers,,2.47,,,2972,Stender Way,Santa Clara,CA,37.37645390055803,-121.97028209777505
1732,https://datacenters.com/metanet-hosting-25-broadway,Metanet Hosting: 25 Broadway Data Center,"25 Broadway, NY, USA",Metanet Hosting,,8.08,,,25,Broadway,NY,,40.705754150000004,-74.01398285653728
1733,https://datacenters.com/365-la2-los-angeles,365 Data Centers: LA2 Los Angeles Data center,"600 West 7th Street, Los Angeles, CA, USA",365 Data Centers,,11.11,,,600,West 7th Street,Los Angeles,CA,34.0473499,-118.256999
1734,https://datacenters.com/novva-san-francisco,NOVVA: San Francisco Data Center,"400 Paul Ave, San Francisco, CA 94124, USA",NOVVA,36.0,7.34,56000.0,56000.0,400,Paul Ave,San Francisco,CA,37.723561,-122.400192
1735,https://datacenters.com/it-solutions-group-chicago,IT Solutions Group: Chicago Data Center,"Chicago, IL, USA",IT Solutions Group,,15.54,85000.0,120000.0,,Chicago,IL,,41.8755616,-87.6244212
1737,https://datacenters.com/365-wa2-seattle,365 Data Centers: WA2 Seattle Data Center,"2001 6th Avenue, Seattle, WA, USA",365 Data Centers,,0.98,,,2001,6th Avenue,Seattle,WA,47.614354750000004,-122.33886370511684
1739,https://datacenters.com/365-va4-reston,365 Data Centers: VA4 Reston Data Center,"11513 Sunset Hills Road, Reston, VA, USA",365 Data Centers,,5.98,,,11513,Sunset Hills Road,Reston,VA,38.94988558168567,-77.33528258423239
1740,https://datacenters.com/365-sv1-sunnyvale,365 Data Centers: SV1 Sunnyvale Data Center,"1360 Kifer Road, Sunnyvale, CA, USA",365 Data Centers,,3.29,,,1360,Kifer Road,Sunnyvale,CA,37.373879739908766,-122.00260860512226
1741,https://datacenters.com/enzu-ord2-elk-grove,Enzu: ORD2 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",Enzu,,2.49,,,1905,Lunt Avenue,Elk Grove Village,IL,42.00107525,-87.95526507465392
1742,https://datacenters.com/365-nj4-parsippany,365 Data Centers: NJ4 Parsippany Data Center,"200 Webro Road, Parsippany, NJ, USA",365 Data Centers,,4.12,,,200,Webro Road,Parsippany,NJ,40.85700465,-74.4188289900982
1744,https://datacenters.com/365-va6-ashburn,365 Data Centers: VA6 Ashburn Data Center,"44664 Guilford Drive, Ashburn, VA, USA",365 Data Centers,,4.88,,,44664,Guilford Drive,Ashburn,VA,39.022754899999995,-77.45482557908068
