,url,address,cep,MW,sq.m,Est,sq.f,latitude,longitude
110,https://www.datacentermap.com/brazil/maringa/r4-data-center/specs/,"R4 Data Center Avenida Duque de Caxias, 882 - Novo Centro Sala 802 87020-025 MaringáParaná,Brazil",87020-025,,,1995,,-23.417431520874,-51.939564478715
111,https://www.datacentermap.com/brazil/joao-pessoa/hostdime-brazil/specs/,"Host Dime Global Corp Av São Paulo, 1223 58020500 João Pessoa Paraiba,Brazil",58020500,,,,,-7.117361108361,-34.856755060543
112,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/specs/,"Ascenty Data Centers Rua Papa João Paulo II, 4 Building 5 13185-252 Hortolândia Brazil",13185-252,30,"22,984",2022,,-22.896033619948,-47.179040874904
113,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/specs/,"Ascenty Data Centers Rua Papa João Paulo II, 4 Building 4 13185-252 Hortolândia Brazil",13185-252,3,"1,997",2021,,-22.896033619948,-47.179040874904
114,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/specs/,"Ascenty Data Centers Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani Bldg 2 13288-162 Vinhedo Brazil",13288-162,34,"24,991",,,-23.038156080543,-46.984838716213
115,https://www.datacentermap.com/brazil/campinas/ascenty-sum04/specs/,"Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 4 13177-435 SumaréBrazil",13177-435,19,,,,-22.811354297463,-47.212282684952
116,https://www.datacentermap.com/brazil/campinas/ascenty-sum03/specs/,"Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 3 13177-435 SumaréBrazil",13177-435,19,,,,-22.811354297463,-47.212282684952
117,https://www.datacentermap.com/brazil/campinas/cloudhq-gru-campus/specs/,Cloud HQParque das Indústrias13140-0000 Paulínia Brazil,13140-000,288,,,,-22.7696189,-47.1511535
118,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/specs/,Ascenty Data Centers Rua Papa João Paulo IIBuilding 6 13185-252 Hortolândia Brazil,13185-252,30,"22,984",,,-22.896027086545,-47.179113249181
119,https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/specs/,"Edge Connection Rua Angelo Sellin, 401 Terreo13098422 Campinas Sao Paulo,Brazil",13098422,,,,,-22.814853127328,-47.029054399671
